schema,DG_ted,JE_ted,JSF_ted,DG_type_of_errors,JE_type_of_errors,JSF_type_of_errors
o21468,6,,15,[],[],[]
o21469,8,,8,[],[],[]
o21470,7,,7,[],[],[]
o21471,5,,6,[],[],[]
o21472,3,,3,[],[],[]
o21474,0,0,26,[],[],[]
o21475,1,20,16,[],[],[]
o21477,1,3,5,[],[],[]
o21479,1,12,6,[],['pattern'],[]
o21480,0,0,6,[],[],[]
o21481,0,7,16,[],[],[]
o21486,0,0,12,[],[],[]
o21487,1,25,13,[],[],[]
o21490,0,0,6,[],[],[]
o21492,0,0,36,[],[],[]
o21494,4,,4,[],[],[]
o21499,2,2,4,[],[],[]
o21500,3,,3,[],[],[]
o21699,0,60,115,[],[],[]
o21725,0,0,14,[],[],[]
o21726,1,,16,[],[],[]
o21729,0,2,12,[],['type'],[]
o21731,1,,1,[],[],[]
o21733,1,10,6,[],[],[]
o21735,1,,17,[],[],[]
o21764,5,,119,[],[],[]
o21768,1,3,1,[],[],[]
o21771,4,,23,[],[],[]
o21779,1,44,25,[],['pattern'],[]
o21780,1,41,141,[],[],[]
o21819,,16,183,[],[],[]
o21820,2,24,42,[],[],[]
o21828,1,,1,[],[],[]
o21840,2,59,332,[],[],[]
o21846,1,4,58,[],[],[]
o21847,1,22,7,[],[],[]
o21848,2,,8,[],[],[]
o21849,4,,14,[],[],[]
o21850,4,,14,[],[],[]
o21851,4,,13,[],[],[]
o21852,4,,4,[],[],[]
o21855,3,3,3,[],['pattern'],[]
o21858,2,3,17,[],[],[]
o21861,2,,1,[],[],[]
o21862,1,1,1,[],[],[]
o21864,2,10,3,[],[],[]
o21865,0,55,4,[],[],[]
o21868,1,25,7,[],[],[]
o21869,0,5,19,[],[],[]
o21909,0,109,34,[],[],[]
o22,0,,389,[],[],[]
o22094,1,,,[],[],[]
o22194,0,,7,[],[],[]
o22199,0,,13,[],[],[]
o2231,3,3,30,[],[],[]
o22449,1,841,102,[],[],[]
o22453,2,6,2,[],[],[]
o2249,1,11,11,[],[],[]
o2256,3,,3,[],[],[]
o23,0,14,70,[],[],[]
o23086,0,4,8,[],[],[]
o23087,2,2,12,[],[],[]
o2312,2,12,163,[],[],[]
o23148,1,,1,[],[],[]
o23176,0,121,64,[],[],[]
o23177,3,48,178,[],[],[]
o23230,4,29,39,[],[],[]
o23494,4,34,3,[],[],[]
o2379,0,30,86,[],[],[]
o24172,1,276,76,[],[],[]
o24174,3,3,60,[],[],[]
o24176,1,3,24,[],[],[]
o24180,4,,43,[],[],[]
o24182,0,0,11,[],[],[]
o24189,0,0,2,[],[],[]
o24196,1,4,4,[],[],[]
o24202,1,3,1,[],[],[]
o24462,6,,67,[],[],[]
o24463,4,278,,[],[],[]
o24464,21,225,151,[],[],[]
o24465,2,2,3,[],[],[]
o24466,2,68,147,[],[],[]
o24468,3,3,64,[],[],['required']
o24474,0,8,5,[],[],[]
o24503,1,,1,[],[],[]
o24544,0,8,4,[],[],[]
o2460,0,42,12,[],[],[]
o2463,0,52,14,[],[],[]
o24891,,6,2,[],[],[]
