schema,DG_ted,JE_ted,JSF_ted,DG_number_errors,JE_number_errors,JSF_number_errors,correct_instance_ast_size,DG_ast_size,JE_ast_size,JSF_ast_size
o82372,2,2,6,0,2,0,5,5,5,9
o82377,1,39,3,0,1,0,3,3,55,5
o82378,1,1,3,0,1,0,3,3,3,5
o82380,1,13,5,0,1,0,3,3,15,7
o82405,1,,5,0,,0,3,3,,7
o82406,1,17,31,0,2,0,3,3,19,33
o82408,1,12,46,0,1,0,3,3,15,49
o82417,1,1,1,0,1,0,3,3,3,3
o82419,1,15,46,0,2,0,3,3,17,49
o82421,1,35,6,0,1,0,3,3,41,9
o82423,1,40,34,0,1,0,3,3,53,37
o82425,1,10,48,0,2,0,3,3,17,51
o82452,1,20,12,0,2,0,3,3,29,15
o82465,1,17,17,0,0,0,3,3,19,19
o82467,1,3,56,0,1,0,3,3,5,59
o82481,2,,6,0,,0,5,5,,9
o82503,1,,39,0,,0,3,3,,41
o82544,1,7,9,0,1,0,3,3,9,11
o82555,1,13,31,0,3,0,3,3,15,33
o82569,2,,2,0,,0,5,5,,5
o82570,2,6,14,0,3,0,5,5,9,17
o82571,2,4,28,0,3,0,5,5,7,31
o82573,2,6,34,0,2,0,5,5,9,37
o82616,1,5,7,0,2,0,3,3,7,9
o82618,1,20,5,0,1,0,3,3,25,7
o82632,1,,41,0,,0,3,3,,43
o82635,1,11,1,0,1,0,3,3,13,3
o82637,1,5,19,0,1,0,3,3,7,21
o82640,0,8,14,0,0,0,1,1,9,15
o82642,0,24,8,0,0,0,1,1,35,9
o82646,0,2,14,0,0,0,1,1,3,15
o82647,1,5,17,0,1,0,3,3,7,19
o82649,1,,7,0,,0,3,3,,9
o82651,1,3,11,0,2,0,3,3,5,13
o82653,1,173,17,0,1,0,3,3,215,19
o82654,1,215,15,0,2,0,3,3,289,17
o82655,1,33,17,0,0,0,3,3,35,19
o82657,1,55,7,0,2,0,3,3,89,9
o82663,0,8,6,0,0,0,1,1,9,7
o82664,1,171,3,0,1,0,3,3,217,5
o82666,1,5,17,0,2,0,3,3,7,19
o82667,1,33,19,0,2,0,3,3,35,21
o82669,1,1,13,0,1,0,3,3,3,15
o82671,1,3,9,0,1,0,3,3,5,11
o82674,1,9,1,0,2,0,3,3,11,3
o82676,1,1,11,0,0,0,3,3,3,13
o82678,0,88,14,0,0,0,1,1,109,15
o82680,1,9,5,0,2,0,3,3,11,7
o82682,1,15,13,0,2,0,3,3,17,15
o82686,0,5,4,0,0,0,1,1,7,5
o82688,0,2,14,0,0,0,1,1,3,15
o82694,1,7,19,0,1,0,3,3,9,21
o82696,2,2,10,0,2,0,5,5,5,13
o82704,1,38,11,0,2,0,3,3,65,13
o82706,2,8,14,0,2,0,5,5,11,17
o82708,1,1,5,0,1,0,3,3,3,7
o82710,1,17,29,0,1,0,3,3,27,31
o82712,1,3,15,0,1,0,3,3,5,17
o82714,1,40,15,0,1,0,3,3,55,17
o82716,0,0,10,0,0,0,1,1,1,11
o82718,0,12,8,0,0,0,1,1,13,9
o82719,0,32,11,0,0,0,1,1,33,13
o82721,0,0,11,0,0,0,1,1,1,13
o82723,0,117,8,0,0,0,1,1,147,9
o82725,0,20,2,0,0,0,1,1,21,3
o82726,1,1,37,0,1,0,3,3,3,39
o82728,1,3,17,0,1,0,3,3,5,19
o82730,1,5,23,0,1,0,3,3,7,25
o82738,1,19,53,0,2,0,3,3,21,55
o82740,1,1,35,0,1,0,3,3,3,37
o82746,1,,39,0,,0,3,3,,41
o82753,1,11,40,0,2,0,3,3,13,43
o82754,1,,3,0,,0,3,3,,5
o82756,1,11,54,0,2,0,3,3,13,57
o82760,1,7,17,0,0,0,3,3,9,19
o82764,2,,8,0,,0,5,5,,11
o82766,1,9,23,0,2,0,3,3,11,25
o82773,1,9,21,0,0,0,3,3,11,23
o82776,1,128,33,0,2,0,3,3,191,35
o8278,4,32,19,0,0,0,13,13,43,31
o82811,1,17,37,0,2,0,3,3,23,39
o82821,2,8,22,0,3,0,5,5,11,25
o82824,1,,23,0,,0,3,3,,25
o82825,1,13,29,0,2,0,3,3,23,31
o82827,1,25,43,0,1,0,3,3,39,45
o82829,1,17,3,0,0,0,3,3,19,5
o82831,1,1,3,0,1,0,3,3,3,5
o82834,1,33,14,0,1,0,3,3,35,17
o82836,1,103,15,0,2,0,3,3,129,17
o82849,2,2,56,0,2,0,5,5,5,59
o82851,2,2,36,0,1,0,5,5,5,39
o82853,1,3,1,0,2,0,3,3,5,3
o82864,2,6,35,0,4,0,5,5,9,39
o82873,2,,43,0,,0,5,5,,47
o82881,2,2,55,0,2,0,5,5,5,59
o82900,2,4,40,0,3,0,5,5,7,43
o82914,1,3,15,0,0,0,3,3,5,17
o82915,1,45,68,0,2,0,3,3,57,71
o82916,1,55,56,0,2,0,3,3,57,59
o82917,1,9,30,0,1,0,3,3,11,33
o82919,1,9,74,0,1,0,3,3,11,77
o82923,0,4,9,0,0,0,1,1,5,13
o82943,1,3,5,0,1,0,3,3,5,7
o82963,1,3,15,0,2,0,3,3,5,17
o82972,1,,7,0,,0,3,3,,9
o82974,1,3,33,0,1,1,3,3,5,35
o82978,1,3,37,0,1,1,3,3,5,41
o82980,1,3,38,0,1,0,3,3,5,41
o82992,1,9,13,0,1,0,3,3,11,15
o83016,1,3,37,0,2,0,3,3,5,39
o83017,1,1,45,0,1,0,3,3,3,47
o83018,1,374,53,0,1,0,3,3,463,55
o83019,1,1,58,0,1,0,3,3,3,61
o83020,1,9,75,0,0,0,3,3,11,77
o83022,1,76,1,0,2,0,3,3,109,3
o83024,1,,9,0,,0,3,3,,11
o83026,1,39,19,0,1,0,3,3,51,21
o83034,1,3,1,0,1,0,3,3,5,3
o83046,1,42,28,0,3,0,3,3,51,31
o83048,1,15,11,0,2,0,3,3,17,13
o83056,1,15,26,0,1,0,3,3,17,29
o83058,1,332,37,0,1,0,3,3,447,39
o83066,1,23,33,0,2,0,3,3,31,35
o83068,1,,7,0,,0,3,3,,9
o83077,0,26,,0,2,,1,1,29,
o83078,0,,45,0,,0,1,1,,49
o83086,0,,309,0,,9,1,1,,323
o83092,,24,18,,6,0,7,,29,23
o83129,2,,23,0,1,0,5,5,1,37
o83130,3,,34,0,,0,9,9,,43
o83131,0,34,50,0,5,0,3,3,45,53
o83137,3,4,79,1,1,0,3,5,5,87
o83138,3,100,18,0,1,0,3,5,155,19
o83139,1,2,1,0,0,0,5,5,5,5
o83140,2,1,18,0,1,0,3,5,3,19
o83141,1,26,21,0,0,0,5,5,35,29
o83151,0,3,,0,1,,5,5,3,
o83154,0,89,12,0,0,0,1,1,107,13
o83155,0,37,30,0,0,0,1,1,57,31
